big_cat	cat	lab	url
Бизнес и экономика	IT-компании	34,59	https://akavita.com/ru/top/All/Business_and_Economics/IT_companies/30days/visitors/desc/Belarus/All
Бизнес и экономика	Автосервис	32,59	https://akavita.com/ru/top/All/Business_and_Economics/Autoservice/30days/visitors/desc/Belarus/All
Бизнес и экономика	Аудит, налоги	37	https://akavita.com/ru/top/All/Business_and_Economics/Audit/30days/visitors/desc/Belarus/All
Бизнес и экономика	Банки/финансы	37	https://akavita.com/ru/top/All/Business_and_Economics/Finance/30days/visitors/desc/Belarus/All
Бизнес и экономика	Бизнес-каталоги	59	https://akavita.com/ru/top/All/Business_and_Economics/Business-directories/30days/visitors/desc/Belarus/All
Бизнес и экономика	Биржи	37	https://akavita.com/ru/top/All/Business_and_Economics/Stock/30days/visitors/desc/Belarus/All
Бизнес и экономика	Инвестиции	37,59	https://akavita.com/ru/top/All/Business_and_Economics/Investment/30days/visitors/desc/Belarus/All
Бизнес и экономика	Лёгкая промышленность	59	https://akavita.com/ru/top/All/Business_and_Economics/Light-Industry/30days/visitors/desc/Belarus/All
Бизнес и экономика	Маркетинг, реклама, PR	59	https://akavita.com/ru/top/All/Business_and_Economics/Advertisement/30days/visitors/desc/Belarus/All
Бизнес и экономика	Менеджмент и Консалтинг	59	https://akavita.com/ru/top/All/Business_and_Economics/Management-and-Consulting/30days/visitors/desc/Belarus/All
Бизнес и экономика	Металлургия	59	https://akavita.com/ru/top/All/Business_and_Economics/Metallurgy/30days/visitors/desc/Belarus/All
Бизнес и экономика	Недвижимость	57	https://akavita.com/ru/top/All/Business_and_Economics/Real_estate/30days/visitors/desc/Belarus/All
Бизнес и экономика	Переводы	59	https://akavita.com/ru/top/All/Business_and_Economics/Translation/30days/visitors/desc/Belarus/All
Бизнес и экономика	Полиграфия и сувениры	34	https://akavita.com/ru/top/All/Business_and_Economics/Print/30days/visitors/desc/Belarus/All
Бизнес и экономика	Продукты питания и напитки	34	https://akavita.com/ru/top/All/Business_and_Economics/Food/30days/visitors/desc/Belarus/All
Бизнес и экономика	Работа	41	https://akavita.com/ru/top/All/Business_and_Economics/Job/30days/visitors/desc/Belarus/All
Бизнес и экономика	Связь	34	https://akavita.com/ru/top/All/Business_and_Economics/Communications/30days/visitors/desc/Belarus/All
Бизнес и экономика	Страхование	37	https://akavita.com/ru/top/All/Business_and_Economics/Insurance/30days/visitors/desc/Belarus/All
Бизнес и экономика	Строительство	34	https://akavita.com/ru/top/All/Business_and_Economics/Construction/30days/visitors/desc/Belarus/All
Бизнес и экономика	Стройматериалы, сантехника, мебель	34	https://akavita.com/ru/top/All/Business_and_Economics/Building-materials/30days/visitors/desc/Belarus/All
Бизнес и экономика	Техника и оборудование	34	https://akavita.com/ru/top/All/Business_and_Economics/Machinery/30days/visitors/desc/Belarus/All
Бизнес и экономика	Торговля, поставки	54	https://akavita.com/ru/top/All/Business_and_Economics/Commerce/30days/visitors/desc/Belarus/All
Бизнес и экономика	Транспорт	32	https://akavita.com/ru/top/All/Business_and_Economics/Transport/30days/visitors/desc/Belarus/All
Бизнес и экономика	Услуги населению	34	https://akavita.com/ru/top/All/Business_and_Economics/B2C-Services/30days/visitors/desc/Belarus/All
Бизнес и экономика	Химия и фармацевтика	34	https://akavita.com/ru/top/All/Business_and_Economics/Chemistry/30days/visitors/desc/Belarus/All
