cat	url	lab
Agricultural Production	https://www.europages.co.uk/companies/pg-{}/agricultural%20production.html	34.0
Agriculture - import-export	https://www.europages.co.uk/companies/pg-{}/agriculture%20-%20import-export.html	34.0
Animals & Livestock	https://www.europages.co.uk/companies/pg-{}/animals%20&%20livestock.html	34.0
Bedding plants, bulbs and seeds	https://www.europages.co.uk/companies/pg-{}/bedding%20plants,%20bulbs%20and%20seeds.html	53.0
Beekeeping and silk culture	https://www.europages.co.uk/companies/pg-{}/beekeeping%20and%20silk%20culture.html	53.0
Cattle	https://www.europages.co.uk/companies/pg-{}/cattle.html	34.0
Cereals and grains	https://www.europages.co.uk/companies/pg-{}/cereals%20and%20grains.html	34.0
Dried fruits	https://www.europages.co.uk/companies/pg-{}/dried%20fruits.html	34.0
Eggs	https://www.europages.co.uk/companies/pg-{}/eggs.html	34.0
Fertilizers and soil conditioners	https://www.europages.co.uk/companies/pg-{}/fertilizers%20and%20soil%20conditioners.html	34.0
Fish	https://www.europages.co.uk/companies/pg-{}/fish.html	34.0
Fish - import-export	https://www.europages.co.uk/companies/pg-{}/fish%20-%20import-export.html	34.0
Fruit	https://www.europages.co.uk/companies/pg-{}/fruit.html	34.0
Fruits and vegetables - import-export	https://www.europages.co.uk/companies/pg-{}/fruits%20and%20vegetables%20-%20import-export.html	34.0
Fur farming	https://www.europages.co.uk/companies/pg-{}/fur%20farming.html	34.0
Horses and donkeys	https://www.europages.co.uk/companies/pg-{}/horses%20and%20donkeys.html	34.0
Horticulture & Forestry	https://www.europages.co.uk/companies/pg-{}/horticulture%20&%20forestry.html	53.0
Horticulture - import-export	https://www.europages.co.uk/companies/pg-{}/horticulture%20-%20import-export.html	53.0
Indoor and greenhouse plants, floristry	https://www.europages.co.uk/companies/pg-{}/indoor%20and%20greenhouse%20plants,%20floristry.html	53.0
Livestock - import-export	https://www.europages.co.uk/companies/pg-{}/livestock%20-%20import-export.html	34.0
Nurseries	https://www.europages.co.uk/companies/pg-{}/nurseries.html	53.0
Pets	https://www.europages.co.uk/companies/pg-{}/pets.html	34.0
Pigs	https://www.europages.co.uk/companies/pg-{}/pigs.html	34.0
Poultry, rabbits and game - farming	https://www.europages.co.uk/companies/pg-{}/poultry,%20rabbits%20and%20game%20-%20farming.html	34.0
Sheep and goats	https://www.europages.co.uk/companies/pg-{}/sheep%20and%20goats.html	34.0
Shellfish and crustaceans	https://www.europages.co.uk/companies/pg-{}/shellfish%20and%20crustaceans.html	34.0
Textile plants	https://www.europages.co.uk/companies/pg-{}/textile%20plants.html	34.0
Vegetables, edible roots and tubers	https://www.europages.co.uk/companies/pg-{}/vegetables,%20edible%20roots%20and%20tubers.html	53.0
Beer	https://www.europages.co.uk/companies/pg-{}/beer.html	14.0
Biscuits	https://www.europages.co.uk/companies/pg-{}/biscuits.html	34.0
Bread, cakes and pastries	https://www.europages.co.uk/companies/pg-{}/bread,%20cakes%20and%20pastries.html	34.0
Champagne and sparkling wines	https://www.europages.co.uk/companies/pg-{}/champagne%20and%20sparkling%20wines.html	14.0
Cheese	https://www.europages.co.uk/companies/pg-{}/cheese.html	34.0
Cider and perry	https://www.europages.co.uk/companies/pg-{}/cider%20and%20perry.html	14.0
Cocoa and chocolate	https://www.europages.co.uk/companies/pg-{}/cocoa%20and%20chocolate.html	34.0
Coffee and tea	https://www.europages.co.uk/companies/pg-{}/coffee%20and%20tea.html	34.0
Condiments, extracts and spices	https://www.europages.co.uk/companies/pg-{}/condiments,%20extracts%20and%20spices.html	34.0
Confectionary	https://www.europages.co.uk/companies/pg-{}/confectionary.html	34.0
Dairy products	https://www.europages.co.uk/companies/pg-{}/dairy%20products.html	34.0
Dietary and organic foods	https://www.europages.co.uk/companies/pg-{}/dietary%20and%20organic%20foods.html	34.0
Drinks	https://www.europages.co.uk/companies/pg-{}/drinks.html	34.0
Drinks, soft	https://www.europages.co.uk/companies/pg-{}/drinks,%20soft.html	34.0
Feeds for animal farming	https://www.europages.co.uk/companies/pg-{}/feeds%20for%20animal%20farming.html	34.0
Fish, seafood and snails, preserved	https://www.europages.co.uk/companies/pg-{}/fish,%20seafood%20and%20snails,%20preserved.html	34.0
Flour and semolina	https://www.europages.co.uk/companies/pg-{}/flour%20and%20semolina.html	34.0
Food and beverage additives	https://www.europages.co.uk/companies/pg-{}/food%20and%20beverage%20additives.html	34.0
Foods, precooked and gourmet	https://www.europages.co.uk/companies/pg-{}/foods,%20precooked%20and%20gourmet.html	34.0
Frozen and deep-frozen foods	https://www.europages.co.uk/companies/pg-{}/frozen%20and%20deep-frozen%20foods.html	34.0
Fruit preserves and jams	https://www.europages.co.uk/companies/pg-{}/fruit%20preserves%20and%20jams.html	34.0
Fruits, dried	https://www.europages.co.uk/companies/pg-{}/fruits,%20dried.html	34.0
Ice cream and sorbets	https://www.europages.co.uk/companies/pg-{}/ice%20cream%20and%20sorbets.html	34.0
Import-export - food and agriculture	https://www.europages.co.uk/companies/pg-{}/import-export%20-%20food%20and%20agriculture.html	34.0
Juices, fruit and vegetable	https://www.europages.co.uk/companies/pg-{}/juices,%20fruit%20and%20vegetable.html	34.0
Liquors and spirits	https://www.europages.co.uk/companies/pg-{}/liquors%20and%20spirits.html	14.0
Meat	https://www.europages.co.uk/companies/pg-{}/meat.html	34.0
Meat, preserved	https://www.europages.co.uk/companies/pg-{}/meat,%20preserved.html	34.0
Meats	https://www.europages.co.uk/companies/pg-{}/meats.html	34.0
Meats, cooked and cured	https://www.europages.co.uk/companies/pg-{}/meats,%20cooked%20and%20cured.html	34.0
Mineral water	https://www.europages.co.uk/companies/pg-{}/mineral%20water.html	34.0
Miscellaneous products of animal origin	https://www.europages.co.uk/companies/pg-{}/miscellaneous%20products%20of%20animal%20origin.html	34.0
Offal	https://www.europages.co.uk/companies/pg-{}/offal.html	34.0
Oils and fats, edible	https://www.europages.co.uk/companies/pg-{}/oils%20and%20fats,%20edible.html	34.0
Pasta	https://www.europages.co.uk/companies/pg-{}/pasta.html	34.0
Pet foods	https://www.europages.co.uk/companies/pg-{}/pet%20foods.html	34.0
Sugar	https://www.europages.co.uk/companies/pg-{}/sugar.html	34.0
Unrefined vegetable oils	https://www.europages.co.uk/companies/pg-{}/unrefined%20vegetable%20oils.html	34.0
Vegetables, preserved	https://www.europages.co.uk/companies/pg-{}/vegetables,%20preserved.html	34.0
Wines	https://www.europages.co.uk/companies/pg-{}/wines.html	14.0
Wines - France	https://www.europages.co.uk/companies/pg-{}/wines%20-%20france.html	14.0
Wines - Italy	https://www.europages.co.uk/companies/pg-{}/wines%20-%20italy.html	14.0
Wines - Spain	https://www.europages.co.uk/companies/pg-{}/wines%20-%20spain.html	14.0
Electricity - import-export	https://www.europages.co.uk/companies/pg-{}/electricity%20-%20import-export.html	34.0
Electricity - production and distribution	https://www.europages.co.uk/companies/pg-{}/electricity%20-%20production%20and%20distribution.html	34.0
Fuels, solid	https://www.europages.co.uk/companies/pg-{}/fuels,%20solid.html	34.0
Gas and oil - exploitation	https://www.europages.co.uk/companies/pg-{}/gas%20and%20oil%20-%20exploitation.html	34.0
Gemstones and precious minerals	https://www.europages.co.uk/companies/pg-{}/gemstones%20and%20precious%20minerals.html	34.0
Import-export - energy and raw materials	https://www.europages.co.uk/companies/pg-{}/import-export%20-%20energy%20and%20raw%20materials.html	34.0
Marble and natural stones	https://www.europages.co.uk/companies/pg-{}/marble%20and%20natural%20stones.html	34.0
Nuclear fuels	https://www.europages.co.uk/companies/pg-{}/nuclear%20fuels.html	34.0
Ores, ferrous and non-ferrous	https://www.europages.co.uk/companies/pg-{}/ores,%20ferrous%20and%20non-ferrous.html	34.0
Raw materials for construction and public...	https://www.europages.co.uk/companies/pg-{}/raw%20materials%20for%20construction%20and%20public%20works.html	34.0
Water - production and distribution	https://www.europages.co.uk/companies/pg-{}/water%20-%20production%20and%20distribution.html	34.0
Abrasives, mechanical	https://www.europages.co.uk/companies/pg-{}/abrasives,%20mechanical.html	34.0
Aluminium and aluminium alloys	https://www.europages.co.uk/companies/pg-{}/aluminium%20and%20aluminium%20alloys.html	34.0
Bearings - ball, needle and roller	https://www.europages.co.uk/companies/pg-{}/bearings%20-%20ball,%20needle%20and%20roller.html	34.0
Blades and knives, industrial	https://www.europages.co.uk/companies/pg-{}/blades%20and%20knives,%20industrial.html	34.0
Boilerwork	https://www.europages.co.uk/companies/pg-{}/boilerwork.html	34.0
Cast iron items	https://www.europages.co.uk/companies/pg-{}/cast%20iron%20items.html	34.0
Chains	https://www.europages.co.uk/companies/pg-{}/chains.html	34.0
Copper and copper alloys	https://www.europages.co.uk/companies/pg-{}/copper%20and%20copper%20alloys.html	34.0
Fastening devices	https://www.europages.co.uk/companies/pg-{}/fastening%20devices.html	34.0
Finished Metal Products	https://www.europages.co.uk/companies/pg-{}/finished%20metal%20products.html	34.0
Grids, gratings and wire mesh	https://www.europages.co.uk/companies/pg-{}/grids,%20gratings%20and%20wire%20mesh.html	34.0
Hand tools, non-power	https://www.europages.co.uk/companies/pg-{}/hand%20tools,%20non-power.html	34.0
Hardware, building construction	https://www.europages.co.uk/companies/pg-{}/hardware,%20building%20construction.html	34.0
Houseware, metal	https://www.europages.co.uk/companies/pg-{}/houseware,%20metal.html	34.0
Import-export - steels and metals	https://www.europages.co.uk/companies/pg-{}/import-export%20-%20steels%20and%20metals.html	34.0
Industrial building construction	https://www.europages.co.uk/companies/pg-{}/industrial%20building%20construction.html	34.0
Industrial hardware	https://www.europages.co.uk/companies/pg-{}/industrial%20hardware.html	34.0
Industrial piping	https://www.europages.co.uk/companies/pg-{}/industrial%20piping.html	34.0
Iron alloys	https://www.europages.co.uk/companies/pg-{}/iron%20alloys.html	34.0
Iron, special grade and pig iron	https://www.europages.co.uk/companies/pg-{}/iron,%20special%20grade%20and%20pig%20iron.html	34.0
Knives and scissors for household and...	https://www.europages.co.uk/companies/pg-{}/knives%20and%20scissors%20for%20household%20and%20professional%20use.html	34.0
Lead and lead alloys	https://www.europages.co.uk/companies/pg-{}/lead%20and%20lead%20alloys.html	34.0
Locks, bolts and keys	https://www.europages.co.uk/companies/pg-{}/locks,%20bolts%20and%20keys.html	34.0
Magnetic equipment	https://www.europages.co.uk/companies/pg-{}/magnetic%20equipment.html	34.0
Metal construction, lightweight	https://www.europages.co.uk/companies/pg-{}/metal%20construction,%20lightweight.html	34.0
Metals, precious and special	https://www.europages.co.uk/companies/pg-{}/metals,%20precious%20and%20special.html	34.0
Moulds and patterns	https://www.europages.co.uk/companies/pg-{}/moulds%20and%20patterns.html	34.0
Nuts and bolts	https://www.europages.co.uk/companies/pg-{}/nuts%20and%20bolts.html	34.0
Packing and packaging materials, metal	https://www.europages.co.uk/companies/pg-{}/packing%20and%20packaging%20materials,%20metal.html	34.0
Pipes and tubes - ferrous metal	https://www.europages.co.uk/companies/pg-{}/pipes%20and%20tubes%20-%20ferrous%20metal.html	34.0
Pipes and tubes - non-ferrous metal	https://www.europages.co.uk/companies/pg-{}/pipes%20and%20tubes%20-%20non-ferrous%20metal.html	34.0
Plumbing, domestic	https://www.europages.co.uk/companies/pg-{}/plumbing,%20domestic.html	34.0
Plumbing, industrial	https://www.europages.co.uk/companies/pg-{}/plumbing,%20industrial.html	34.0
Portable power tools	https://www.europages.co.uk/companies/pg-{}/portable%20power%20tools.html	34.0
Safes and vaults	https://www.europages.co.uk/companies/pg-{}/safes%20and%20vaults.html	34.0
Scaffolding and ladders	https://www.europages.co.uk/companies/pg-{}/scaffolding%20and%20ladders.html	34.0
Sections and bars - ferrous metal	https://www.europages.co.uk/companies/pg-{}/sections%20and%20bars%20-%20ferrous%20metal.html	34.0
Sections and bars - non-ferrous metal	https://www.europages.co.uk/companies/pg-{}/sections%20and%20bars%20-%20non-ferrous%20metal.html	34.0
Sheet Metal & Tubes	https://www.europages.co.uk/companies/pg-{}/sheet%20metal%20&%20tubes.html	34.0
Sheets and bands - ferrous metal	https://www.europages.co.uk/companies/pg-{}/sheets%20and%20bands%20-%20ferrous%20metal.html	34.0
Sheets and bands - non-ferrous metal	https://www.europages.co.uk/companies/pg-{}/sheets%20and%20bands%20-%20non-ferrous%20metal.html	34.0
Signs and signalling panels and boards	https://www.europages.co.uk/companies/pg-{}/signs%20and%20signalling%20panels%20and%20boards.html	34.0
Springs	https://www.europages.co.uk/companies/pg-{}/springs.html	34.0
Steel	https://www.europages.co.uk/companies/pg-{}/steel.html	34.0
Steel & Metal Transformation	https://www.europages.co.uk/companies/pg-{}/steel%20&%20metal%20transformation.html	34.0
