cat	url	lab
Storage Units	https://www.yellowpages.com/houston-tx/storage-units	53.0
Plumbers	https://www.yellowpages.com/houston-tx/plumbers	53.0
Electricians	https://www.yellowpages.com/houston-tx/electricians	53.0
Carpet Cleaning	https://www.yellowpages.com/houston-tx/carpet-cleaning	53.0
Moving Companies	https://www.yellowpages.com/houston-tx/moving-companies	34.0
Pest Control Services	https://www.yellowpages.com/houston-tx/pest-control-services	53.0
Self Storage	https://www.yellowpages.com/houston-tx/self-storage	53.0
Appliance Repair	https://www.yellowpages.com/houston-tx/appliance-repair	53.0
Garage Door Repair	https://www.yellowpages.com/houston-tx/garage-door-repair	53.0
Appliance Parts	https://www.yellowpages.com/houston-tx/appliance-parts	34.0
Cleaning Services	https://www.yellowpages.com/houston-tx/cleaning-services	34.0
Lawn Mower Repair	https://www.yellowpages.com/houston-tx/lawn-mower-repair	34.0
Moving Truck Rental	https://www.yellowpages.com/houston-tx/moving-truck-rental	32.0
AC Repair	https://www.yellowpages.com/houston-tx/ac-repair	34.0
Home Security System Installation	https://www.yellowpages.com/houston-tx/home-security-system-installation	53.0
Garden Centers	https://www.yellowpages.com/houston-tx/garden-centers	53.0
Refrigerator Repair	https://www.yellowpages.com/houston-tx/refrigerator-repair	53.0
Plant Nurseries	https://www.yellowpages.com/houston-tx/plant-nurseries	53.0
Tree Service	https://www.yellowpages.com/houston-tx/tree-service	53.0
General Contractors	https://www.yellowpages.com/houston-tx/general-contractors	53.0
Dentists	https://www.yellowpages.com/houston-tx/dentists	39.0
Dermatologists	https://www.yellowpages.com/houston-tx/dermatologists	39.0
Optometrists	https://www.yellowpages.com/houston-tx/optometrists	39.0
Physical Therapy	https://www.yellowpages.com/houston-tx/physical-therapy	39.0
Hospitals	https://www.yellowpages.com/houston-tx/hospitals	39.0
Endocrinologists	https://www.yellowpages.com/houston-tx/endocrinologists	39.0
Gynecologists	https://www.yellowpages.com/houston-tx/gynecologists	39.0
Podiatrists	https://www.yellowpages.com/houston-tx/podiatrists	39.0
Neurologists	https://www.yellowpages.com/houston-tx/neurologists	39.0
Ophthalmologists	https://www.yellowpages.com/houston-tx/ophthalmologists	39.0
Gastroenterologists	https://www.yellowpages.com/houston-tx/gastroenterologists	39.0
Pediatricians	https://www.yellowpages.com/houston-tx/pediatricians	39.0
Orthodontists	https://www.yellowpages.com/houston-tx/orthodontists	39.0
Urologists	https://www.yellowpages.com/houston-tx/urologists	39.0
Rheumatologists	https://www.yellowpages.com/houston-tx/rheumatologists	39.0
Obgyn	https://www.yellowpages.com/houston-tx/obgyn	39.0
Physicians	https://www.yellowpages.com/houston-tx/physicians	39.0
Cardiologists	https://www.yellowpages.com/houston-tx/cardiologists	39.0
Radiology	https://www.yellowpages.com/houston-tx/radiology	39.0
Pediatric Dentists	https://www.yellowpages.com/houston-tx/pediatric-dentists	39.0
Auto Parts	https://www.yellowpages.com/houston-tx/auto-parts	32.0
Oil Change	https://www.yellowpages.com/houston-tx/oil-change	32.0
Tire Shops	https://www.yellowpages.com/houston-tx/tire-shops	32.0
Auto Repair	https://www.yellowpages.com/houston-tx/auto-repair	32.0
Window Tinting	https://www.yellowpages.com/houston-tx/window-tinting	32.0
Towing	https://www.yellowpages.com/houston-tx/towing	32.0
Auto Body Shops	https://www.yellowpages.com/houston-tx/auto-body-shops	32.0
Car Detailing	https://www.yellowpages.com/houston-tx/car-detailing	32.0
Roadside Assistance	https://www.yellowpages.com/houston-tx/roadside-assistance	32.0
Auto Glass Repair	https://www.yellowpages.com/houston-tx/auto-glass-repair	32.0
Tire Repair	https://www.yellowpages.com/houston-tx/tire-repair	32.0
Auto Salvage	https://www.yellowpages.com/houston-tx/auto-salvage	32.0
Auto Glass	https://www.yellowpages.com/houston-tx/auto-glass	32.0
Car Accessories	https://www.yellowpages.com/houston-tx/car-accessories	32.0
Wheel Alignment	https://www.yellowpages.com/houston-tx/wheel-alignment	32.0
Used Car Parts	https://www.yellowpages.com/houston-tx/used-car-parts	32.0
Car Transport	https://www.yellowpages.com/houston-tx/car-transport	32.0
Paintless Dent Repair	https://www.yellowpages.com/houston-tx/paintless-dent-repair	32.0
Radiator Repair	https://www.yellowpages.com/houston-tx/radiator-repair	32.0
Car Alarm Installation	https://www.yellowpages.com/houston-tx/car-alarm-installation	32.0
Bail Bonds	https://www.yellowpages.com/houston-tx/bail-bonds	43.0
Private Investigators	https://www.yellowpages.com/houston-tx/private-investigators	43.0
Stenographers	https://www.yellowpages.com/houston-tx/stenographers	43.0
Divorce Attorneys	https://www.yellowpages.com/houston-tx/divorce-attorneys	43.0
Lie Detector Tests	https://www.yellowpages.com/houston-tx/lie-detector-tests	43.0
Car Accident Lawyers	https://www.yellowpages.com/houston-tx/car-accident-lawyers	43.0
Family Law Attorneys	https://www.yellowpages.com/houston-tx/family-law-attorneys	43.0
Bankruptcy Attorneys	https://www.yellowpages.com/houston-tx/bankruptcy-attorneys	43.0
Process Servers	https://www.yellowpages.com/houston-tx/process-servers	43.0
Tax Attorneys	https://www.yellowpages.com/houston-tx/tax-attorneys	43.0
Fingerprinting Services	https://www.yellowpages.com/houston-tx/fingerprinting-services	43.0
Medical Malpractice Lawyers	https://www.yellowpages.com/houston-tx/medical-malpractice-lawyers	43.0
Accident Attorneys	https://www.yellowpages.com/houston-tx/accident-attorneys	43.0
Child Custody Lawyers	https://www.yellowpages.com/houston-tx/child-custody-lawyers	43.0
Business Lawyers	https://www.yellowpages.com/houston-tx/business-lawyers	43.0
Immigration Lawyers	https://www.yellowpages.com/houston-tx/immigration-lawyers	43.0
Workers Compensation Attorneys	https://www.yellowpages.com/houston-tx/workers-compensation-attorneys	43.0
DUI Attorneys	https://www.yellowpages.com/houston-tx/dui-attorneys	43.0
Civil Rights Attorneys	https://www.yellowpages.com/houston-tx/civil-rights-attorneys	43.0
Labor Law Attorneys	https://www.yellowpages.com/houston-tx/labor-law-attorneys	43.0
Mexican Restaurants	https://www.yellowpages.com/houston-tx/mexican-restaurants	30.0
Sushi Bars	https://www.yellowpages.com/houston-tx/sushi-bars	30.0
Chinese Restaurants	https://www.yellowpages.com/houston-tx/chinese-restaurants	30.0
Italian Restaurants	https://www.yellowpages.com/houston-tx/italian-restaurants	30.0
Thai Restaurants	https://www.yellowpages.com/houston-tx/thai-restaurants	30.0
Breakfast Restaurants	https://www.yellowpages.com/houston-tx/breakfast-restaurants	30.0
Seafood Restaurants	https://www.yellowpages.com/houston-tx/seafood-restaurants	30.0
Vegetarian Restaurants	https://www.yellowpages.com/houston-tx/vegetarian-restaurants	30.0
Korean Restaurants	https://www.yellowpages.com/houston-tx/korean-restaurants	30.0
Cuban Restaurants	https://www.yellowpages.com/houston-tx/cuban-restaurants	30.0
Greek Restaurants	https://www.yellowpages.com/houston-tx/greek-restaurants	30.0
Soul Food Restaurants	https://www.yellowpages.com/houston-tx/soul-food-restaurants	30.0
Japanese Restaurants	https://www.yellowpages.com/houston-tx/japanese-restaurants	30.0
French Restaurants	https://www.yellowpages.com/houston-tx/french-restaurants	30.0
German Restaurants	https://www.yellowpages.com/houston-tx/german-restaurants	30.0
Brazilian Restaurants	https://www.yellowpages.com/houston-tx/brazillian-restaurants	30.0
Car Insurance	https://www.yellowpages.com/houston-tx/car-insurance	37.0
Boat Insurance	https://www.yellowpages.com/houston-tx/boat-insurance	37.0
Business Insurance	https://www.yellowpages.com/houston-tx/business-insurance	37.0
Dental Insurance	https://www.yellowpages.com/houston-tx/dental-insurance	37.0
Disability Insurance	https://www.yellowpages.com/houston-tx/disability-insurance	37.0
Flood Insurance	https://www.yellowpages.com/houston-tx/flood-insurance	37.0
Home Insurance	https://www.yellowpages.com/houston-tx/home-insurance	37.0
Insurance	https://www.yellowpages.com/houston-tx/insurance	37.0
Liability Insurance	https://www.yellowpages.com/houston-tx/liability-insurance	37.0
Life Insurance	https://www.yellowpages.com/houston-tx/life-insurance	37.0
Long Term Care Insurance	https://www.yellowpages.com/houston-tx/long-term-care-insurance	37.0
Motorcycle Insurance	https://www.yellowpages.com/houston-tx/motorcycle-insurance	37.0
Pet Insurance	https://www.yellowpages.com/houston-tx/pet-insurance	37.0
Renters Insurance	https://www.yellowpages.com/houston-tx/renters-insurance	37.0
RV Insurance	https://www.yellowpages.com/houston-tx/rv-insurance	37.0
Title Insurance	https://www.yellowpages.com/houston-tx/title-insurance	37.0
Travel Insurance	https://www.yellowpages.com/houston-tx/travel-insurance	37.0
Truck Insurance	https://www.yellowpages.com/houston-tx/truck-insurance	37.0
Animal Shelters	https://www.yellowpages.com/houston-tx/animal-shelters	53.0
Dog Training	https://www.yellowpages.com/houston-tx/dog-training	53.0
Doggy Day Cares	https://www.yellowpages.com/houston-tx/doggy-day-cares	53.0
Emergency Vets	https://www.yellowpages.com/houston-tx/emergency-vets	53.0
Kennels	https://www.yellowpages.com/houston-tx/kennels	53.0
Mobile Pet Grooming	https://www.yellowpages.com/houston-tx/mobile-pet-grooming	53.0
Pet Boarding	https://www.yellowpages.com/houston-tx/pet-boarding	53.0
Pet Cemeteries	https://www.yellowpages.com/houston-tx/pet-cemeteries	53.0
Pet Grooming	https://www.yellowpages.com/houston-tx/pet-grooming	53.0
Veterinary Clinics	https://www.yellowpages.com/houston-tx/veterinary-clinics	53.0
Massage	https://www.yellowpages.com/houston-tx/massage	39.0
Barber Shops	https://www.yellowpages.com/houston-tx/barber-shops	39.0
Nail Salons	https://www.yellowpages.com/houston-tx/nail-salons	39.0
Beauty Supplies	https://www.yellowpages.com/houston-tx/beauty-supplies	39.0
Hair Removal	https://www.yellowpages.com/houston-tx/hair-removal	39.0
Hair Stylists	https://www.yellowpages.com/houston-tx/hair-stylists	39.0
Facial Salons	https://www.yellowpages.com/houston-tx/facial-salons	39.0
Beauty Salons	https://www.yellowpages.com/houston-tx/beauty-salons	39.0
Day Spas	https://www.yellowpages.com/houston-tx/day-spas	39.0
Hair Supplies	https://www.yellowpages.com/houston-tx/hair-supplies	39.0
Storage Units	https://www.yellowpages.com/san-antonio-tx/storage-units	53.0
Plumbers	https://www.yellowpages.com/san-antonio-tx/plumbers	53.0
Electricians	https://www.yellowpages.com/san-antonio-tx/electricians	53.0
Carpet Cleaning	https://www.yellowpages.com/san-antonio-tx/carpet-cleaning	53.0
Moving Companies	https://www.yellowpages.com/san-antonio-tx/moving-companies	34.0
Pest Control Services	https://www.yellowpages.com/san-antonio-tx/pest-control-services	53.0
Self Storage	https://www.yellowpages.com/san-antonio-tx/self-storage	53.0
Appliance Repair	https://www.yellowpages.com/san-antonio-tx/appliance-repair	53.0
